station_a,name_a,state_a,station_b,name_b,state_b,num_trains,distance_km
GZN,NEW GHAZIABAD,Uttar Pradesh,MUD,MURADNAGAR,Uttar Pradesh,6,11.6
GHAI,GHATIGAON,Madhya Pradesh,MOJ,MOHANA,Madhya Pradesh,12,12.4
GHAI,GHATIGAON,Madhya Pradesh,RENH,RENHAT,Madhya Pradesh,2,12.5
GHAI,GHATIGAON,Madhya Pradesh,PNHR,PANIHAR,Madhya Pradesh,2,10.1
MOJ,MOHANA,Madhya Pradesh,SVPI,SHIVPURI,Madhya Pradesh,12,63.4
MOJ,MOHANA,Madhya Pradesh,PARH,PARAKHEDA,Madhya Pradesh,2,36.0
MOJ,MOHANA,Madhya Pradesh,RENH,RENHAT,Madhya Pradesh,2,0.0
SVPI,SHIVPURI,Madhya Pradesh,KLRS,KOLARAS,Madhya Pradesh,12,24.2
SVPI,SHIVPURI,Madhya Pradesh,KCR,KHONKER,Madhya Pradesh,2,14.8
SVPI,SHIVPURI,Madhya Pradesh,KAW,KHAJRI,Madhya Pradesh,2,14.0
